	preprocessed_sent	label_encoded
52	공공 SW사업 불공정 하도급 관행 개선되나 공공 소프트웨어 SW 사업 수주시 제안서 작성에 협력한 중소기업을 사업수주 후 일방적으로 변경하는 관행 등 SW사업 하도급 단계별로 겪는 애로가 상당 부분 해소될 것으로 보인다  지식경제부는 8일 이명박 대통령 주재로 열린 제76차 국민경제대책회의에서 불공정 하도급 관행 개선을 위한 공공 SW 사업관련 제도개선 방안을 발표했다 	0
3529	밀레  고탄성 소재로 발이 편안  엠리밋  천연 방충성분 넣은 봄재킷 이제 아웃도어 의류는 중장년층의 전유물이 아니다  등산과 캠핑을 즐기는 20  30대 젊은층이 늘고 아웃도어 의류를 등산복이 아닌 하나의 패션으로 소화하는 움직임도 보이고 있기 때문이다  이에 따라 아웃도어 브랜드 밀레는 전형적인 등산복 디자인에서 벗어나 세련된 색 배합과 감각적인 실루엣으로 무장한 제품들을 내놓고 있다   뉴 테르트르 재킷  16만9000원 은 자체 개발한 기능성 경량 소재를 사용한 재킷으로 안 입은 듯 가볍다  바람은 막고 땀은 배출해 쾌적하게 아웃도어 활동을 즐길 수 있다  작은 부피로 돌돌 말아 휴대하기도 쉽다   라쉬날 3L 재킷  36만9000원 은 방수 방풍 소재를 사용했다  수분 침투는 막지만 수증기 형태의 땀은 내보낸다  복고적인 색상 배합이 돋보인다   라쉬날 집업 여성용 티셔츠  11만9000원 는 땀을 빠르게 흡수하고 날려버리는 멜란지 폴리 원단을 사용해 끈적거리지 않는다 	3
6016	 경마코너  새해 고객 환급률 73 로 2009년 과천 서울경마공원에서 펼쳐지는 경마는 환급률 인상  삼복승식 시행  승군점수제 도입 등 경마선진화를 위한 제도개선이 대폭 이루어진다  또한 우수경주마 배출을 위한 암말 우대정책을 시행하고  2세마를 보호하기 위해 하위권에도 별정중량을 도입한다 	6
8046	도의회 예결특위 선정  잡음  경기도의회가 7대 마지막 예산결산특별위원회 위원 선정을 놓고 파열음을 내고 있다  25일 도의회에 따르면 지난해 9월 구성된 7대 도의회 3기 예결특위는 지난 7월 열린 제242회 정례회에서 2009년도 제2차 추경예산 심의 승인을 끝으로 사실상 1년간의 임기를 마무리했다 	8
1109	한국지엠 부품 협력업체  상생  강화  경영 현황 설명회  370여명 참석 카젬 사장  비전 사업목표  소개	1
4121	교육과 보육 어린이집 누리과정 예산 분담 주체를 놓고 2년째 마찰이 끊이질 않고 있다  정부는 시 도 교육청이 유치원 누리과정 예산과 마찬가지로 충당해야 한다고 주장하는 반면 경기도교육청을 비롯한 시 도 교육청은 예산편성을 하지 않고 맞서고 있기 때문이다  이러한 과정에서 어린이집 운영자들은 학부모들에게 누리 과정비용을 전가할 수 없어 신용카드 대출 등으로 운영비와 교사급여를 지급하는 등 어려운 상황에 내몰리고 있다  사태 장기화로 폐원을 선택하는 어린이집도 나오고 있다 	4
7259	 무한도전   풍파 속에도 토요일 예능 1위  슈퍼7  공연 취소  고정 멤버 길의 하차 발언 등 어려운 상황에서도 MBC  무한도전 은 시청률에서 좋은 기록을 냈다  시청률조사회사 AGB닐슨미디어리서치 집계에 따르면 22일 방송된  무한도전 은 14 6  시청률을 기록했다  이는 지난 15일 방송의 14 0 보다 상승한 기록이다  토요일 방송된 예능프로그램 중에서도 가장 높은 시청률이다 	7
7272	하정우  구은애와 결별 말 못한 속사정은  연예계 공식커플이었던 배우 하정우와 모델 구은애가 4년 연애의 마침표를 찍었다  지난 2008년 교제를 시작해 공개 연인 사이로 주위의 부러움을 샀던 두 사람은 올해 1월 결별했다  두 사람은 지난해 말부터 여러차례 결별설에 휘말렸으나 그때마다 강력 부인했으나 결국 결별을 인정했다 	7
4075	특성화고  실습 기능  회복 시급 표준협약서  근로계약서로 악용돼 인력 공급위한 취업 형태로  변질 	4
7597	파호동 유래비 제막  옛 주민들 방문  감동   내 고향 파호동     을 지킬 수 있어 얼마나 다행인지 모릅니다   지난 9일 대구시 달서구 파호동 삼성명가아파트 서쪽 강편도로 옆 녹지대에서는 한 편의 감동적인 드라마가 연출됐다 	7
3082	아디다스 오리지널스  아이코닉한 90년대 이큅먼트 라인의 귀환  FW EQT 컬렉션 출시 아디다스 오리지널스는 90년대 첫 선을 보인 테크니컬 룩의 혁신적인 스니커즈로 사랑받았던  이큅먼트 라인을 모던하고 심플하게 핵심만을 담아낸 새로운 스타일의 2017 FW EQT 컬렉션을 출시했다  EQT의 새로운 17 FW 컬렉션은  핵심만을 모두 담은 것  불필요한 것은 모두 배제한 것 을 모토로 하는 이큅먼트 라인의 스타일을 현대적으로 재해석했다  독일 베를린을 배경으로 90 년대 베를린의 문화 르네상스 시대를 표현한 SS 시즌에 이어  이번 FW 컬렉션은 미국 디트로이트 도시에서 영감을 받아 제작됐다 	3
2666	반송1동 어르신 건강 프로젝트  인생은 아름다워   웃음과 차로 행복을 배달해 드립니다   저는 자유한국당도 아니고  바른정당도 아니고  민주당도 아니고  행복경로당입니다 여러분   5일 오후 4시 30분 부산 해운대구 반송동 행복경로당  개그맨 박성호 씨가 재치 있는 인사말을 전하자 좌중에 폭소가 터졌다  이날 해운대문화놀이센터장인 개그맨 김영민 씨를 비롯해 개그맨 박성호 씨가 특별 출연자로 나서 어르신들에게 웃음을 선사했다  경로당 거실을 가득 메운 지역 노인 50여 명이 이날 1시간여 동안 노래를 부르고 코미디와 저글링 공연 등을 즐겼다  행복경로당에서 새어 나온 박수와 웃음소리가 시장 골목 가득 울려 퍼졌다 	2
3424	젊어진 골프웨어 거리로 당당 외출 패션 트렌드를 이끄는 2030세대들이 고소득층의 4050세대가 주름잡던 골프시장에 유입되기 시작하면서 골프웨어 시장에도 변화의 바람이 불고 있다  지난해 12월  골프존과 TNS코리아 발표에 따르면 신규 골퍼의 경우 20대 30 1   30대 28 9  로 20 30대 젊은 층의 비율이 60 에 달할 정도로 젊은 층에서 골프를 시작하는 비율이 증가하는 추세다 	3
561	발전소 건설기계 등 전통적 제조업에 ICT 접목 두산은 글로벌 기업으로서의 역량을 강화하기 위해 제품과 기술 혁신을 통한 근원적 경쟁력 강화를 내세우고 있다  사업 환경과 기술 변화에 발 빠르게 대응하기 위해 전통적 제조업인 발전소 플랜트와 건설기계 등에 정보통신기술 ICT 을 접목해 사업 영역을 넓혀 나가고 있다  두산중공업은 2014년 창원 본사에  발전소 원격 관리 서비스 센터 를 개설한 데 이어 2015년에는 서울 사무소에  소프트웨어 센터 를 열었다  두 곳은 발전소 운영 관련 정보에 대한 빅데이터 분석을 통해 발전소 이용률과 효율을 향상시키는 역할을 한다  시공간 제약 없이 발전소 운전 상황을 실시간 원격 관리하기 위해 고장 예측 분석 시스템  이상 상태 조기 경보 시스템 등을 갖췄다  전용 통신망으로 발전소 중앙제어실의 핵심 기기 운전 데이터를 실시간 수신하고 문제 발생 시 최적화된 솔루션을 곧바로 제공해 고객 만족도를 높였다  소프트웨어 센터는 방대한 양의 데이터를 축적해 발전소 설계 개선  운전 효율 향상  정비  서비스 등에 활용할 수 있는 정보와 프로그램 등을 제공한다 	0
348	9면 미 EU 관계 급랭 개인정보보호법 급물살 유럽연합 EU 이 미국 국가안보국 NSA 의 불법 정보수집에 대해 칼을 빼들었다  NSA가 앙겔라 메르켈 독일 총리의 휴대전화를 도청한 사실이 드러나면서다  구글 페이스북 등 미국 인터넷업체들에 대한 규제를 강화하고 나선 데 이어 미국과의 자유무역협상도 차질도 예상된다  유럽 국가들은 24일 이하 현지시간  벨기에 브뤼셀에서 열리는 유럽연합 EU  정상회의에 이 문제를 상정해 논의했다  애초 28개 회원국 간에 이견이 표출될 수도 이유로 이 문제를 제외했으나  메르켈 총리 도청사건으로 비난 여론이 고조되면서 분위기가 바뀌었다 	0
